#separator:tab
#html:true
"<div class=afirmação>No coração a via&nbsp;<span class=""cloze"" data-cloze=""mais&#x20;r&#xE1;pida"" data-ordinal=""1"">[...]</span> comanda <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No coração a via&nbsp;<span class=""cloze"" data-ordinal=""1"">mais rápida</span> comanda </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""S&#xED;ncope&#x20;vasovagal"" data-ordinal=""2"">[...]</span> - Profilaxia<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Betabloqueador / Fludrocortisona → Marca passo definitivo dupla-câmara (DDDR)</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Síncope vasovagal</span> - Profilaxia<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Betabloqueador / Fludrocortisona → Marca passo definitivo dupla-câmara (DDDR)</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Síndrome da Hipersensibilidade do seio carotideo - HISTORIA CLÁSSICA: <span class=""cloze"" data-cloze=""S&#xED;ncope&#x20;ao&#x20;virar&#x20;o&#x20;pesoco&#xE7;o&#x20;&#x2F;&#x20;usar&#x20;colarinho&#x20;apertado"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Síndrome da Hipersensibilidade do seio carotideo - HISTORIA CLÁSSICA: <span class=""cloze"" data-ordinal=""1"">Síncope ao virar o pesocoço / usar colarinho apertado</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Síndrome da Hipersensibilidade do seio carotideo -&nbsp;Diagnóstico feito com&nbsp;<span class=""cloze"" data-cloze=""compress&#xE3;o&#x20;do&#x20;seio&#x20;carot&#xED;deo&#x20;10s"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Síndrome da Hipersensibilidade do seio carotideo -&nbsp;Diagnóstico feito com&nbsp;<span class=""cloze"" data-ordinal=""1"">compressão do seio carotídeo 10s</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Síndrome da Hipersensibilidade do seio carotideo -&nbsp;Duas entidades<div><br></div><div><span class=""cloze"" data-cloze=""Hipersensibilidade&#x20;&lt;u&gt;cardioinibitoria&lt;&#x2F;u&gt;&#x20;do&#x20;seio&#x20;carotideo&#x20;&#x28;pausa&#x20;sinusal&#x20;ao&#x20;fazer&#x20;massagem&#x29;&lt;&#x2F;div&gt;&lt;div&gt;&lt;br&gt;&lt;&#x2F;div&gt;&lt;div&gt;Hipersensibilidade&#x20;&lt;u&gt;vasodepressora&lt;&#x2F;u&gt;&#x20;do&#x20;seio&#x20;carotideo&#x20;&#x28;queda&#x20;da&#x20;PA&#x20;ao&#x20;fazer&#x20;massagem&#x29;"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Síndrome da Hipersensibilidade do seio carotideo -&nbsp;Duas entidades<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Hipersensibilidade <u>cardioinibitoria</u> do seio carotideo (pausa sinusal ao fazer massagem)</div><div><br></div><div>Hipersensibilidade <u>vasodepressora</u> do seio carotideo (queda da PA ao fazer massagem)</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Síndrome da Hipersensibilidade do seio carotideo -&nbsp;<div><br /></div><div>Tratamento da hipersensibilidade cardioinibitoria =&nbsp;<span class=""cloze"" data-cloze=""Marca&#x2D;passo&#x20;definitivo"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Síndrome da Hipersensibilidade do seio carotideo -&nbsp;<div><br /></div><div>Tratamento da hipersensibilidade cardioinibitoria =&nbsp;<span class=""cloze"" data-ordinal=""1"">Marca-passo definitivo</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Doença do Nó Sinusal</span> - Causa sindrome&nbsp;<span class=""cloze"" data-cloze=""Taqui&#x2D;bradi"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Doença do Nó Sinusal</span> - Causa sindrome&nbsp;<span class=""cloze"" data-ordinal=""1"">Taqui-bradi</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Doen&#xE7;a&#x20;do&#x20;N&#xF3;&#x20;Sinusal"" data-ordinal=""2"">[...]</span> - Causa sindrome&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">Taqui-bradi</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Doença do Nó Sinusal</span> - Causa sindrome&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">Taqui-bradi</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Doença do Nó Sinusal</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-cloze=""Bradi&#x20;sinusal&#x20;cronica&#x20;inapropriada&lt;&#x2F;div&gt;&lt;div&gt;Pausas&#x20;sinusais&#x20;longas&#x20;&#x28;&amp;gt&#x3B;3s&#x29;&lt;&#x2F;div&gt;&lt;div&gt;Bloqueio&#x20;sinoatrial"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Doença do Nó Sinusal</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Bradi sinusal cronica inapropriada</div><div>Pausas sinusais longas (&gt;3s)</div><div>Bloqueio sinoatrial</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Doen&#xE7;a&#x20;do&#x20;N&#xF3;&#x20;Sinusal"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Bradi sinusal cronica inapropriada</div><div>Pausas sinusais longas (&gt;3s)</div><div>Bloqueio sinoatrial</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Doença do Nó Sinusal</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Bradi sinusal cronica inapropriada</div><div>Pausas sinusais longas (&gt;3s)</div><div>Bloqueio sinoatrial</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Toda sincope bradicárdica</span> é chamada de <span class=""cloze"" data-cloze=""S&#xED;ndrome&#x20;de&#x20;Stoke&#x2D;Adams"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Toda sincope bradicárdica</span> é chamada de <span class=""cloze"" data-ordinal=""1"">Síndrome de Stoke-Adams</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Toda&#x20;sincope&#x20;bradic&#xE1;rdica"" data-ordinal=""2"">[...]</span> é chamada de <span class=""cloze-inactive"" data-ordinal=""1"">Síndrome de Stoke-Adams</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Toda sincope bradicárdica</span> é chamada de <span class=""cloze-inactive"" data-ordinal=""1"">Síndrome de Stoke-Adams</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Bradicardia = FC &lt;&nbsp;<span class=""cloze"" data-cloze=""50"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Bradicardia = FC &lt;&nbsp;<span class=""cloze"" data-ordinal=""1"">50</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Arritmia Sinusal</span> = <span class=""cloze"" data-cloze=""Altera&#xE7;&#xE3;o&#x20;da&#x20;FC&#x20;com&#x20;respira&#xE7;&#xE3;o"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Arritmia Sinusal</span> = <span class=""cloze"" data-ordinal=""1"">Alteração da FC com respiração</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Arritmia&#x20;Sinusal"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">Alteração da FC com respiração</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Arritmia Sinusal</span> = <span class=""cloze-inactive"" data-ordinal=""1"">Alteração da FC com respiração</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Bradicardia Sinusal - Tratamento da refratária à atropina<div><br /></div><div><span class=""cloze"" data-cloze=""Marca&#x2D;passo&#x20;&#x2F;&#x20;Aminas"" data-ordinal=""1"">[2]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Bradicardia Sinusal - Tratamento da refratária à atropina<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Marca-passo / Aminas</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint3ba8f6233063499c').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint3ba8f6233063499c"" class=hint style=""display: none""><div>Bradi sinusal refratária trata = Bradicardias malignas.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV&nbsp;<span class=""cloze"" data-cloze=""supra"" data-ordinal=""1"">[...]</span>-hissiano = BENIGNO <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV&nbsp;<span class=""cloze"" data-ordinal=""1"">supra</span>-hissiano = BENIGNO </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV&nbsp;<span class=""cloze"" data-cloze=""infra&#x2F;intra"" data-ordinal=""1"">[...]</span>-hissiano = MALIGNO <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV&nbsp;<span class=""cloze"" data-ordinal=""1"">infra/intra</span>-hissiano = MALIGNO </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV que se encontram <span class=""cloze"" data-cloze=""acima"" data-ordinal=""1"">[...]</span> do feixe de Hiss respodem bem a atropina <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV que se encontram <span class=""cloze"" data-ordinal=""1"">acima</span> do feixe de Hiss respodem bem a atropina </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV que se encontram <span class=""cloze"" data-cloze=""abaixo&#x2F;dentro"" data-ordinal=""1"">[...]</span> do feixe de Hiss respodem mal a atropina <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV que se encontram <span class=""cloze"" data-ordinal=""1"">abaixo/dentro</span> do feixe de Hiss respodem mal a atropina </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint37ff3db8934c0d60').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint37ff3db8934c0d60"" class=hint style=""display: none""><div>INTRA-INFRA = Ruim.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV Benignos:<div><br></div><div><span class=""cloze"" data-cloze=""BAV&#x20;1&#xBA;&#x20;e&#x20;BAV&#x20;2&#xBA;&#x20;Mobitz&#x20;I"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV Benignos:<div><br></div><div><span class=""cloze"" data-ordinal=""1"">BAV 1º e BAV 2º Mobitz I</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV Malignos:<div><br></div><div><span class=""cloze"" data-cloze=""BAV&#x20;3&#xBA;&#x20;e&#x20;BAV&#x20;2&#xBA;&#x20;Mobitz&#x20;II"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV Malignos:<div><br></div><div><span class=""cloze"" data-ordinal=""1"">BAV 3º e BAV 2º Mobitz II</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Bloqueio de algumas ondas P =&nbsp;<span class=""cloze"" data-cloze=""BAV&#x20;2&#xBA;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Bloqueio de algumas ondas P =&nbsp;<span class=""cloze"" data-ordinal=""1"">BAV 2º</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hinta51c15296db6dc15').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hinta51c15296db6dc15"" class=hint style=""display: none""><div>Se é Mobitz 1 ou 2 depende do intervalo PR (progressivamente maior = 1).</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze-inactive"" data-ordinal=""2"">1º Grau</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze"" data-cloze=""PR&#x20;&amp;gt&#x3B;&#x20;200&#x20;ms&lt;div&gt;Onda&#x20;P&#x20;seguida&#x20;de&#x20;QRS"" data-ordinal=""1"">[...]</span></div></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze-inactive"" data-ordinal=""2"">1º Grau</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze"" data-ordinal=""1"">PR &gt; 200 ms<div>Onda P seguida de QRS</span></div></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint784f35026e4c1869').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint784f35026e4c1869"" class=hint style=""display: none""><div>(Onda P demora para chegar no QRS);<br></div><div>Não há bloqueio, só diminuição da velocidade;</div><div>Benigno (responde a atropina).</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze"" data-cloze=""1&#xBA;&#x20;Grau"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""1"">PR &gt; 200 ms<div>Onda P seguida de QRS</span></div></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze"" data-ordinal=""2"">1º Grau</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""1"">PR &gt; 200 ms<div>Onda P seguida de QRS</span></div></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint784f35026e4c1869').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint784f35026e4c1869"" class=hint style=""display: none""><div>(Onda P demora para chegar no QRS);<br></div><div>Não há bloqueio, só diminuição da velocidade;</div><div>Benigno (responde a atropina).</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze"" data-cloze=""2&#xBA;&#x20;Grau&#x20;–&#x20;Mobitz&#x20;I&#x20;&#x28;Wenckebach&#x29;"" data-ordinal=""1"">[...]</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Vai alargando PR progressivamente até que bloqueia<br />Algumas ondas P sem QRS a seguir</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze"" data-ordinal=""1"">2º Grau – Mobitz I (Wenckebach)</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Vai alargando PR progressivamente até que bloqueia<br />Algumas ondas P sem QRS a seguir</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hintf56f44f16558b9e7').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hintf56f44f16558b9e7"" class=hint style=""display: none""><div>Benigna (responde a atropina).</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze-inactive"" data-ordinal=""1"">2º Grau – Mobitz I (Wenckebach)</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze"" data-cloze=""Vai&#x20;alargando&#x20;PR&#x20;progressivamente&#x20;at&#xE9;&#x20;que&#x20;bloqueia&lt;br&#x20;&#x2F;&gt;Algumas&#x20;ondas&#x20;P&#x20;sem&#x20;QRS&#x20;a&#x20;seguir"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze-inactive"" data-ordinal=""1"">2º Grau – Mobitz I (Wenckebach)</span>&nbsp;- Como é o ECG?</div><div><br /></div><div><span class=""cloze"" data-ordinal=""2"">Vai alargando PR progressivamente até que bloqueia<br />Algumas ondas P sem QRS a seguir</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hintf56f44f16558b9e7').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hintf56f44f16558b9e7"" class=hint style=""display: none""><div>Benigna (responde a atropina).</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze-inactive"" data-ordinal=""2"">2 º Grau - Mobitz II</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze"" data-cloze=""PR&#x20;normal&lt;br&gt;Algumas&#x20;ondas&#x20;P&#x20;n&#xE3;o&#x20;seguidas&#x20;de&#x20;QRS"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze-inactive"" data-ordinal=""2"">2 º Grau - Mobitz II</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze"" data-ordinal=""1"">PR normal<br>Algumas ondas P não seguidas de QRS</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint9fed8468b9dc2fb3').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint9fed8468b9dc2fb3"" class=hint style=""display: none""><div>(Não “avisa” que vai bloquear);<br></div>Maligna (Não responde a atropina).<span style=""color: lightgrey""><small><br>      </small></span> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze"" data-cloze=""2&#x20;&#xBA;&#x20;Grau&#x20;&#x2D;&#x20;Mobitz&#x20;II"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">PR normal<br>Algumas ondas P não seguidas de QRS</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze"" data-ordinal=""2"">2 º Grau - Mobitz II</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">PR normal<br>Algumas ondas P não seguidas de QRS</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint9fed8468b9dc2fb3').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint9fed8468b9dc2fb3"" class=hint style=""display: none""><div>(Não “avisa” que vai bloquear);<br></div>Maligna (Não responde a atropina).<span style=""color: lightgrey""><small><br>      </small></span> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze-inactive"" data-ordinal=""2"">3º Grau</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze"" data-cloze=""Onda&#x20;P&#x20;entra&#x20;e&#x20;sai&#x20;do&#x20;QRS&#x20;&#x28;Dissocia&#xE7;&#xE3;o&#x20;Atrioventricular&#x29;"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze-inactive"" data-ordinal=""2"">3º Grau</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze"" data-ordinal=""1"">Onda P entra e sai do QRS (Dissociação Atrioventricular)</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>BAV <span class=""cloze"" data-cloze=""3&#xBA;&#x20;Grau"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Onda P entra e sai do QRS (Dissociação Atrioventricular)</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>BAV <span class=""cloze"" data-ordinal=""2"">3º Grau</span>&nbsp;- Como é o ECG?</div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Onda P entra e sai do QRS (Dissociação Atrioventricular)</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV 1º grau e 2º grau Mobitz 1 - Tratamento<div><br></div><div><span class=""cloze"" data-cloze=""Assintom&#xE1;tico&#x20;&#x3D;&#x20;Observa&lt;br&gt;Sintom&#xE1;tico&#x20;&#x3D;&#x20;Atropina&#x20;→&#x20;Se&#x20;refrat&#xE1;rio&#x3A;&#x20;Marca&#x2D;passo&#x20;&#x2F;&#x20;Adrenalina&#x20;&#x2F;&#x20;Dopamina"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV 1º grau e 2º grau Mobitz 1 - Tratamento<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Assintomático = Observa<br>Sintomático = Atropina → Se refratário: Marca-passo / Adrenalina / Dopamina</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>BAV 3º grau e 2º grau Mobitz 2 - Tratamento<div><br /></div><div><span class=""cloze"" data-cloze=""Marca&#x2D;passo&#x20;&#x2B;&#x20;Dopamina&#x2F;Adrenalina"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> BAV 3º grau e 2º grau Mobitz 2 - Tratamento<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Marca-passo + Dopamina/Adrenalina</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint06de897c6abbe439').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint06de897c6abbe439"" class=hint style=""display: none""><i style=""vertical-align: super; ""><div><sup></sup></div></i><div>Atropina não funciona aqui.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Marca-passo definitivo é <span class=""cloze"" data-cloze=""tripla"" data-ordinal=""1"">[...]</span>-câmara (<span class=""cloze"" data-cloze=""1&#x20;no&#x20;&#xE1;trio&#x20;e&#x20;2&#x20;nos&#x20;ventriculos"" data-ordinal=""1"">[...]</span>) <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Marca-passo definitivo é <span class=""cloze"" data-ordinal=""1"">tripla</span>-câmara (<span class=""cloze"" data-ordinal=""1"">1 no átrio e 2 nos ventriculos</span>) </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Marca-passo em FA (Como fica) = <span class=""cloze"" data-cloze=""N&#xE3;o&#x20;bota&#x20;cabo&#x20;no&#x20;&#xE1;trio&#x2C;&#x20;so&#x20;nos&#x20;dois&#x20;ventr&#xED;culos&#x21;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Marca-passo em FA (Como fica) = <span class=""cloze"" data-ordinal=""1"">Não bota cabo no átrio, so nos dois ventrículos!</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Marca-passo definitivo ou temporário?<div><br /></div><div><span class=""cloze"" data-cloze=""Condi&#xE7;&#xE3;o&#x20;cronica&#x20;irrevers&#xED;vel&#x20;&#x3D;&#x20;Definitivo&lt;&#x2F;div&gt;&lt;div&gt;Condi&#xE7;&#xE3;o&#x20;reversivel&#x20;&#x2F;&#x20;transit&#xF3;ria&#x20;&#x3D;&#x20;Tempor&#xE1;rio"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Marca-passo definitivo ou temporário?<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Condição cronica irreversível = Definitivo</div><div>Condição reversivel / transitória = Temporário</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Atrial - taquicardia com alteração em&nbsp;<span class=""cloze"" data-cloze=""Onda&#x20;P"" data-ordinal=""1"">[...]</span><br> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Atrial - taquicardia com alteração em&nbsp;<span class=""cloze"" data-ordinal=""1"">Onda P</span><br> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Reentrada exige 3 pré requisitos:&nbsp;<div><br /></div><div><span class=""cloze"" data-cloze=""&#x28;1&#x29;&amp;nbsp&#x3B;&#xC1;reas&#x20;adjacentes&#x20;com&#x20;per&#xED;odos&#x20;refrat&#xE1;rios&#x20;diferente&lt;br&#x20;&#x2F;&gt;&#x28;2&#x29;&#x20;&#xC1;reas&#x20;de&#x20;condu&#xE7;&#xE3;o&#x20;lentificada&lt;br&#x20;&#x2F;&gt;&#x28;3&#x29;&#x20;Gatilho&#x20;&#x28;ex&#x3A;&#x20;extrass&#xED;stole&#x29;"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Reentrada exige 3 pré requisitos:&nbsp;<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">(1)&nbsp;Áreas adjacentes com períodos refratários diferente<br />(2) Áreas de condução lentificada<br />(3) Gatilho (ex: extrassístole)</span></div> </div>



</div>

</div><br>

<div class=direito>"
